OTU.ID,Or.Ma.D.s,Or.Ma.R.s,Or.Ma.D.le,Or.Ma.R.le,Or.Ma.D.e,Or.Ma.R.e,Or.Ma.D.re,Or.Ma.R.re,Or.Ma.D.rz,Or.Ma.R.rz,Or.Ma.D.rzs,Or.Ma.R.rzs,Or.Sf.D.s,Or.Sf.R.s,Or.Sf.D.le,Or.Sf.R.le,Or.Sf.D.e,Or.Sf.R.e,Or.Sf.D.re,Or.Sf.R.re,Or.Sf.D.rz,Or.Sf.R.rz,Or.Sf.D.rzs,Or.Sf.R.rzs,Mg.Ma.D.s,Mg.Ma.R.s,Mg.Ma.D.le,Mg.Ma.R.le,Mg.Ma.D.e,Mg.Ma.R.e,Mg.Ma.R.re,Mg.Ma.D.rz,Mg.Ma.R.rz,Mg.Ma.D.rzs,Mg.Ma.R.rzs,Mg.Sf.D.s,Mg.Sf.R.s,Mg.Sf.D.le,Mg.Sf.R.le,Mg.Sf.D.e,Mg.Sf.R.e,Mg.Sf.D.re,Mg.Sf.R.re,Mg.Sf.D.rz,Mg.Sf.R.rz,Mg.Sf.D.rzs,Mg.Sf.R.rzs,Consensus.lineage
OTU_4,3,1,56,94,63,1544,20,64,3412,12388,8,9,8,5,117,22,22,634,445,20,1604,10750,1,70,0,12,7,2,5,49,34,70,76,2,2,0,5,103,78,1460,2798,89,8,390,787,27,146,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Leclercia
OTU_7,26,26,120,5,1370,23,201,21,20534,2479,44,14,1630,41,355,6,242,122,1011,1,8471,34558,71,85,28,25,1,2,58,64,3,22653,272,25,25,59,105,37,1,50,69,18,33,50226,7351,58,141,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus
OTU_8,30,2,28,1,10,20,170,63,12,90,15,7,2,9,1,0,2,1,174,464,81,21,2,19,4,11,0,0,1,9,13,34,1,14,20,24,3,6,0,7,5,23,34,7,9,16,48,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Agrobacterium
OTU_9,240,216,0,0,116,74,1,9,9,21,81,82,28,97,24,4,119,307,72,40,56,4,45,61,80,67,0,0,13,176,1,73,38,154,36,68,86,6,4,86,77,1,0,11,64,40,121,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Balneimonas
OTU_10,3,2,30,0,5,3,0,6,24418,3494,2,15,20,1,23,2,1,2,41,0,70,75,6,3,3,108,0,2,1,1,1,223,26,0,4,4,10,109,0,0,6,0,0,85,812,3,3,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter
OTU_12,0,0,5953,9,0,1,3,18,0,0,0,12,0,1,124,15,0,1,203,14,0,0,0,1,0,0,3,0,0,3,6,0,1,0,4,0,1,15,4,3,1,50,12,18,9,0,269,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas
OTU_13,20,0,0,6,4,2,4,2,0,4,3,1,0,3,0,0,1,1,21,3,5,1,1,6,4,0,0,1,1,6,0,3,0,5,0,1,1,2,0,0,1,1,1,0,1,0,11,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Promicromonosporaceae;g__Promicromonospora
OTU_15,362,258,112,9,62,27,1047,562,48,139,653,228,241,128,59,14,17,26,523,167,559,47,149,559,169,335,3,0,23,133,277,254,232,386,958,377,100,5,2,37,138,243,135,42,444,329,601,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium
OTU_16,25,26,0,0,0,1,3,12,1,8,6,2,32,12,0,4,10,1,37,0,135,17,21,25,14,33,2,0,0,2,1,14,3,1,14,18,3,0,1,1,4,0,0,9,36,15,8,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Streptomycetaceae;g__Streptomyces
OTU_17,98,16,0,0,22,7,9,11,1,9,81,50,112,59,0,1,8,24,12,116,125,13,27,44,15,11,0,1,2,16,0,29,6,60,27,21,25,2,0,6,46,10,3,8,30,55,131,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Pseudonocardiaceae;g__Pseudonocardia
OTU_18,3,1,0,0,1,422,0,0,4,1,0,1,1,0,20,0,0,0,40,0,1,2,0,0,0,0,6,0,1,0,2,4,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,k__Bacteria;p__Bacteroidetes;c__Flavobacteria;o__Flavobacteriales;f__FlavobacterialesOR;g__FlavobacterialesOR
OTU_19,1,28,583,3778,179,31,35,36,18,50,4,10,21,22,758,10918,19,26,599,14,144,14,12,43,3,16,9,128,7,288,24,18,21,3,11,7,38,41,686,158,381,7,54,464,152,8,12,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus
OTU_20,1,0,498,18,308,59,19,132,0,9,1,0,0,0,721,45,126,109,251,117,0,0,0,3,2,62,3,1,25,265,182,0,0,0,4,0,1,102,40,49,323,4,50,0,1,0,33,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter
OTU_21,3,1,216,38,44,1205,172,14,511,14914,151,26,4,3,62,35,6,36,237,42,525,16,24,1,1,6,0,0,3,21,0,48,3,13,8,1,6,21,3,11,33,3,35,9,108,2,12,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas
OTU_23,318,168,0,1,118,34,41,14,5,34,259,172,50,181,1,1,92,367,45,4,60,10,71,142,81,85,1,0,22,147,16,68,41,330,191,333,431,1,3,115,172,0,6,3,445,102,296,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
OTU_24,0,49,1020,81,7,4,6693,247,309,691,379,25,227,11,686,160,21,34,638,21,5965,4404,251,398,42,55,12,6,5,11,465,200,104,53,127,98,7,9,25,37,101,38,59,217,1655,70,38,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia
OTU_25,463,41,29,123,597,313,12,12,28,13,163,53,19,33,78,3,210,495,138,134,138,34,50,255,81,90,1,0,168,336,41,185,18,269,146,100,63,11,4,187,571,2,9,10,102,64,108,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Massilia
OTU_26,175,54,5,6,167,60,55,3,94,48,170,66,51,75,75,5,142,147,159,0,478,42,95,45,71,53,0,0,16,184,2,298,31,96,169,88,43,5,0,86,139,1,0,10,85,24,131,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__MicrococcaceaeFA
OTU_27,301,78,0,0,333,59,9,2,7,20,65,128,55,82,0,0,177,509,161,1,62,9,153,79,153,97,0,0,41,261,0,108,84,205,142,102,111,0,4,233,161,0,1,7,320,114,116,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Geodermatophilaceae;g__GeodermatophilaceaeFA
OTU_28,248,70,0,1,46,0,1,4,1,8,77,63,52,122,0,4,41,228,21,0,64,9,44,133,30,56,1,0,11,48,1,45,40,90,37,192,330,0,1,83,42,0,0,10,193,107,99,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Cystobacteraceae;g__Archangium
OTU_29,148,111,152,0,167,17,94,39,559,394,84,168,254,97,121,15,73,49,65,0,823,1259,86,68,150,247,1,0,16,112,2,548,40,33,27,30,124,2,0,44,194,3,15,907,425,37,132,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Paenisporosarcina
OTU_30,35,15,0,2,104,12,2,8,1,18,5,39,31,19,0,1,111,199,69,0,27,1,14,31,21,11,2,0,9,107,1,10,16,12,18,16,24,0,1,208,21,1,1,5,43,40,9,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Geodermatophilaceae;g__Geodermatophilus
OTU_32,524,148,0,1,21,28,1,14,8,42,242,153,23,256,0,1,7,14,32,0,15,13,27,74,62,47,0,0,2,10,0,69,10,137,44,78,25,0,1,12,10,6,3,20,41,58,276,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Sinobacteraceae;g__Steroidobacter
OTU_34,2530,888,0,3,23,22,3,3,29,68,2078,1243,131,449,20,0,5,9,19,0,5,48,15,1052,187,67,0,0,11,4,3,111,10,1031,209,467,412,0,2,9,8,0,0,7,30,492,1006,k__Bacteria;p__Acidobacteria;c__Chloracidobacteria;o__ChloracidobacteriaCL;f__ChloracidobacteriaCL;g__ChloracidobacteriaCL
OTU_36,315,467,2,3,93,64,30,27,46,170,1023,476,393,212,0,5,58,159,19,0,617,296,347,1044,408,324,0,0,43,173,2,409,427,643,796,501,424,0,1,51,191,2,7,5,1025,497,427,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Kaistobacter
OTU_38,442,392,0,0,34,22,10,2,20,30,600,304,124,485,1,1,21,55,50,0,70,20,209,536,103,215,0,0,2,11,4,109,85,599,273,170,333,1,0,16,27,2,6,9,205,618,383,k__Bacteria;p__Acidobacteria;c__Chloracidobacteria;o__ChloracidobacteriaCL;f__ChloracidobacteriaCL;g__ChloracidobacteriaCL
OTU_39,36,31,0,1,64,10,0,1,1,0,12,9,14,23,18,0,60,211,68,0,17,1,23,6,32,13,0,0,9,72,1,4,4,22,21,29,41,2,0,60,42,0,0,1,18,22,5,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylobacteriaceae;g__MethylobacteriaceaeFA
OTU_40,9,0,54,0,8,14,2,22,302,15,0,0,0,0,0,7,3,5,622,443,20,28,1,13,0,0,1,0,0,28,24,6,1,5,2,7,0,0,0,18,18,168,6,0,22,1,10,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__RhizobialesOR;g__RhizobialesOR
OTU_41,116,12,0,3,3,6,12,4,2,4,21,24,43,20,0,0,2,2,121,61,44,8,9,106,0,31,0,0,1,1,2,15,4,32,13,16,11,0,1,4,9,12,10,1,22,53,47,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinosynnemataceae
OTU_42,0,3,20,1,0,4,0,9,0,4,1,0,2,0,36,5,0,2,57,257,4,2,0,6,0,0,0,0,0,0,0,13,1,1,1,0,0,0,0,1,1,1165,1,4,6,0,0,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter
OTU_43,177,53,0,0,23,21,4,1,3,4,194,114,486,85,0,1,22,31,131,0,68,5,180,125,36,145,0,0,12,37,3,91,46,199,177,294,102,0,0,30,78,0,0,8,321,157,748,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__ActinomycetalesOR;g__ActinomycetalesOR
OTU_44,225,310,0,2,62,17,2,5,3,26,115,86,14,170,0,3,15,54,21,0,38,11,61,64,113,48,0,0,3,17,0,67,18,178,87,98,61,0,0,10,51,4,6,6,112,57,162,k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;g__Solibacter
OTU_48,288,76,3,0,388,115,15,2,8,22,19,134,60,53,0,3,226,568,67,2,51,12,145,205,168,91,0,0,82,552,1,90,93,124,130,81,180,0,0,613,319,0,0,3,435,173,79,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Geodermatophilaceae;g__Modestobacter
OTU_49,124,90,0,0,79,20,339,59,11,17,183,70,168,68,7,1,12,31,36,13,203,12,52,89,48,59,0,0,10,48,67,79,26,78,95,74,40,0,2,14,70,16,37,13,141,69,118,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Mycobacteriaceae;g__Mycobacterium
OTU_52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Glycomycetaceae;g__Glycomyces
OTU_53,137,22,0,0,9,0,0,0,1,1,27,31,0,202,10,2,11,101,4,3,7,0,2,0,19,1,0,0,1,10,0,9,5,95,7,59,9,1,0,15,3,0,0,0,0,2,30,k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales;f__Flexibacteraceae;g__Adhaeribacter
OTU_54,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,k__Bacteria;p__Bacteroidetes;c__Flavobacteria;o__Flavobacteriales;f__Flavobacteriaceae;g__Chryseobacterium
OTU_55,264,141,0,0,224,76,39,0,6,11,141,131,69,121,3,0,67,329,144,0,121,23,71,329,158,64,0,0,25,157,2,124,118,199,114,80,252,0,1,122,195,0,2,16,261,117,164,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micromonosporaceae;g__Couchioplanes
OTU_59,208,84,0,0,76,49,0,0,4,21,101,82,25,72,0,7,40,108,22,1,49,23,70,88,75,81,0,0,2,124,4,60,48,134,64,77,83,0,0,30,98,0,5,6,163,47,81,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Ramlibacter
OTU_60,235,83,0,4,34,19,21,0,7,11,227,94,125,183,2,4,13,38,58,0,35,8,54,210,39,32,0,0,10,20,0,33,12,93,46,110,125,0,0,13,38,0,2,4,14,264,197,k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__GemmatimonadalesOR;g__GemmatimonadalesOR
OTU_61,21,1,23,3,5,3,0,0,5,52,28,8,0,8,0,0,2,1,1,0,7,6,1,19,5,2,0,0,2,5,0,61,1,68,106,36,4,0,0,6,8,38,1,9,21,0,10,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Streptomycetaceae;g__Streptomyces
OTU_62,4,64,0,0,1260,114,0,0,3,3,0,0,1057,631,39,0,2264,5584,0,0,11,1,0,28,124,53,0,0,60,132,2,14,0,66,309,29,955,2,1,594,1917,0,0,3,38,362,1,k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae;o__Oscillatoriales;f__Phormidiaceae;g__Microcoleus
OTU_64,1,4,0,0,145,17203,0,4,0,5,0,3,1,0,25,1,1,3345,144,0,23,8,1,3,0,1,1,0,1,1023,1,3,0,0,1,0,1,2,10,3428,1192,2,1,3,5,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas
OTU_65,147,165,0,0,23,16,0,1,1,21,98,121,72,150,9,0,25,219,18,0,36,17,68,200,68,128,0,0,8,30,3,72,130,326,243,392,48,0,1,33,78,0,1,0,155,100,555,k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Nitrososphaera
OTU_66,25,1,0,0,138,2,18,16,1937,1045,21,6,104,18,19,1,16,4,36,1,1115,70,32,34,10,8,0,0,4,41,1,2582,62,23,18,27,21,0,1,9,8,3,0,14947,1516,33,40,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus
OTU_67,2,45,11,0,19,7,223,21,17,23,73,32,106,11,25,0,5,24,340,0,396,36,70,180,44,73,0,0,13,9,174,146,12,64,66,115,62,0,1,17,19,101,311,12,366,342,66,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Pseudonocardiaceae;g__Amycolatopsis
OTU_68,30,3,0,7,1,1,10,3,1,4,8,8,0,28,0,3,1,3,0,0,3,4,2,5,6,0,0,0,0,0,0,7,1,11,0,18,4,0,0,1,0,4,0,1,2,3,10,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Sinobacteraceae;g__Steroidobacter
OTU_69,92,9,0,0,48,4,0,0,3,0,6,3,5,10,17,1,10,89,25,2,12,1,5,0,6,1,0,0,2,31,0,9,0,52,25,4,6,1,0,44,7,0,0,0,59,7,35,k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales;f__Flexibacteraceae;g__FlexibacteraceaeFA
OTU_70,140,48,0,2,94,25,0,0,5,7,33,52,14,52,0,1,54,105,0,0,32,6,20,84,52,22,0,0,9,55,2,36,22,42,15,31,77,1,0,62,12,1,0,7,21,67,75,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Skermanella
OTU_71,1308,268,0,0,118,46,22,5,20,15,783,215,92,527,0,1,54,88,24,0,35,4,21,95,70,26,0,0,23,29,0,70,31,411,23,77,130,0,0,45,87,0,0,1,6,72,78,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__Rubrobacter
OTU_72,153,37,0,0,7,5,1,14,1,0,75,24,23,225,0,0,9,3,0,0,0,0,3,24,94,1,0,0,3,1,0,6,1,63,4,32,23,0,0,0,14,1,0,0,0,10,14,k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Nitrososphaera
OTU_73,1325,1208,0,3,803,184,47,426,400,296,105,1671,443,50,9,6,296,132,52,0,37,71,47,55,2211,976,0,0,83,170,4,204,279,116,249,14,42,64,0,236,743,0,0,2371,316,91,126,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__BacillalesOR;g__BacillalesOR
OTU_75,249,97,15,0,160,53,4,5,9,19,189,209,165,65,0,0,77,245,48,0,75,34,91,175,112,111,0,2,22,128,9,176,149,255,267,137,117,1,1,110,222,2,12,5,1200,110,349,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Pseudonocardiaceae;g__Pseudonocardia
OTU_76,33,50,0,0,121,34,0,4,2,4,7,8,27,16,0,4,178,254,0,0,9,2,20,11,91,20,0,0,15,147,0,10,3,10,13,29,57,0,1,127,83,0,0,1,12,27,7,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Rubellimicrobium
OTU_78,1,0,2,0,0,4,0,2,0,0,0,2,0,0,0,0,1,0,1,0,0,1,0,1,0,18,0,0,1,0,6,12,1,0,5,7,0,0,0,0,0,3,10,5,2,0,46,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas
OTU_79,15,7,4,0,41,30,8,0,1,74,20,6,206,41,0,2,10,16,31,0,78,11,23,74,16,19,0,0,0,21,0,13,1,15,7,5,12,0,1,12,18,6,2,35,18,31,18,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Streptomycetaceae;g__Streptomyces
OTU_81,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,1,2,0,0,0,0,5,0,4,0,0,0,0,3,7,0,0,2,0,0,2,0,0,0,0,13,0,7,0,1,k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales;f__SphingobacterialesOR;g__SphingobacterialesOR
OTU_82,190,52,0,2,99,33,41,24,11,23,123,73,51,55,1,2,20,62,36,37,49,21,29,197,51,36,0,1,14,43,1,72,38,143,104,101,42,0,0,32,74,24,13,5,135,98,141,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Solirubrobacter
OTU_83,209,131,0,0,4,6,5,0,2,12,167,168,73,123,0,0,1,11,18,0,27,10,44,151,67,20,1,0,5,1,1,38,14,163,54,105,48,0,0,6,12,0,2,4,24,73,136,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__RhodocyclalesOR;g__RhodocyclalesOR
OTU_84,13,1,0,0,1,2,0,0,0,1,2,1,4,5,0,0,6,15,0,0,2,0,1,4,5,10,3,0,0,9,0,3,4,4,2,3,1,0,0,4,5,0,1,0,12,12,1,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylobacteriaceae;g__MethylobacteriaceaeFA
OTU_86,51,44,15,1,71,13,5,0,8,13,33,17,30,15,0,4,57,118,8,17,122,6,65,47,60,49,0,0,11,77,84,36,14,39,316,36,72,4,0,19,95,0,7,2,46,47,51,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Herminiimonas
OTU_88,58,13,0,1,2,4,0,0,1,3,75,7,8,113,0,1,3,4,0,0,1,1,3,21,6,0,0,0,2,4,0,0,2,23,2,4,10,0,1,1,2,0,0,0,0,5,5,k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Nitrososphaera
OTU_89,0,6,0,0,0,3,6,2,1,11,204,3,0,0,18,0,0,1,184,0,5,1,0,0,1,2,0,0,0,1,19,13,1,4,1,6,0,0,0,0,2,18,18,2,3,0,3,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Variovorax
OTU_90,76,46,0,0,133,28,1,0,10,14,145,147,236,187,0,0,163,344,30,0,108,20,195,200,357,120,0,0,22,138,2,66,31,218,92,166,342,0,0,125,77,0,0,1,314,495,120,k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales;f__SphingobacterialesOR;g__SphingobacterialesOR
OTU_91,1,0,0,0,2,0,0,0,0,0,2,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,k__Bacteria;p__CCM11b;c__CCM11bPH;o__CCM11bPH;f__CCM11bPH;g__CCM11bPH
OTU_92,26,61,0,0,5,7,0,0,1,4,36,26,395,203,0,0,49,50,34,0,111,15,430,226,26,107,0,0,2,28,2,14,73,68,110,162,222,0,0,19,24,0,1,2,226,497,94,k__Bacteria;p__Verrucomicrobia;c__Spartobacteria;o__Spartobacteriales;f__Spartobacteriaceae;g__MC18
OTU_95,25,32,31,1,228,698,433,132,4,27,14,88,76,19,94,3,136,499,1163,10,172,22,132,204,61,62,0,0,84,977,117,73,130,54,124,92,120,0,0,491,1155,144,189,0,269,111,45,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylobacteriaceae;g__Methylobacterium
OTU_96,0,0,0,0,0,0,1,0,0,5,0,1,2,0,0,0,0,0,0,34,67,5,5,24,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,5,8,2,0,1,25,k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales;f__SphingobacterialesOR;g__SphingobacterialesOR
OTU_97,31,10,0,0,26,10,45,16,0,10,7,18,6,6,0,0,25,69,9,4,11,2,20,15,6,6,0,0,3,34,2,15,8,20,28,8,28,6,0,25,19,2,0,0,77,12,23,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Yonghaparkia
OTU_99,0,1,425,382,57,11,10,110,1,1,0,0,12,1,166,223,11,27,315,9,5,0,2,1,0,1,15,9,11,55,16,1,1,0,1,0,0,19,54,49,60,1,36,0,3,1,0,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus
OTU_100,299,254,0,0,5,8,0,1,7,9,722,348,65,519,0,1,3,9,15,3,38,35,93,504,106,96,0,0,8,6,2,52,70,679,328,696,213,0,0,6,10,1,0,3,313,191,642,k__Bacteria;p__Verrucomicrobia;c__Spartobacteria;o__Spartobacteriales;f__Spartobacteriaceae;g__MC18
OTU_101,1,1,0,5,2,0,19,22,8,19,11,2,63,3,0,0,1,0,33,0,76,13,7,7,2,3,0,0,0,2,0,14,0,0,0,1,2,0,0,0,0,1,9,3,42,13,5,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Inquilinus
OTU_102,38,25,0,0,9,3,27,0,2,12,161,39,47,16,0,0,1,13,8,1,58,11,22,84,33,16,0,0,7,7,0,22,12,50,20,20,18,0,0,0,11,2,4,5,67,61,107,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardioidaceae;g__Kribbella
OTU_103,25,1,0,0,3,0,0,0,1,4,4,23,0,10,0,0,1,0,0,0,0,4,0,0,1,0,0,0,0,0,1,14,0,11,1,1,0,0,0,0,1,0,0,2,0,0,33,k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales;f__Flexibacteraceae;g__Cytophaga
OTU_106,102,7,0,0,0,1,0,7,2,4,19,18,0,35,15,0,3,2,0,10,2,3,0,10,2,2,0,0,0,2,0,12,2,13,4,11,3,0,0,1,2,18,0,5,1,12,9,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Sinobacteraceae;g__SinobacteraceaeFA
OTU_107,31,103,0,0,48,21,0,49,12,159,320,386,616,196,0,0,59,129,0,0,287,196,540,912,237,284,1,0,10,123,4,117,586,350,742,582,603,0,0,75,147,0,0,2,1123,1091,587,k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;g__Solibacter
OTU_108,58,12,1,0,147,25,0,2,2,2,9,7,3,3,1,1,50,62,18,23,12,0,9,6,14,6,0,0,9,52,0,8,7,16,32,6,21,0,1,66,49,250,0,1,44,3,10,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Cellulomonadaceae;g__Cellulomonas
OTU_109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Olivibacter
OTU_111,156,114,1,0,10,5,0,3,2,28,108,44,1,34,0,2,2,3,0,0,17,1,22,9,25,25,0,0,3,2,0,45,1,88,61,36,6,0,1,5,8,0,0,5,11,0,183,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Sinobacteraceae;g__SinobacteraceaeFA
OTU_113,212,51,0,1,23,9,2,0,2,5,205,119,7,138,0,0,5,49,43,0,11,4,44,44,49,10,0,0,4,4,0,35,18,176,58,127,36,0,2,6,22,0,0,6,29,35,184,k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales;f__SphingobacterialesOR;g__SphingobacterialesOR
OTU_114,113,17,0,0,6,1,0,4,1,1,50,51,3,163,1,0,3,46,0,0,1,0,1,19,14,3,0,0,0,7,0,6,6,83,1,35,3,0,0,4,6,2,0,0,0,4,23,k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Nitrososphaera
