OTU.ID,Or.Ma.D.s,Or.Ma.R.s,Or.Ma.D.le,Or.Ma.R.le,Or.Ma.D.e,Or.Ma.R.e,Or.Ma.D.re,Or.Ma.R.re,Or.Ma.D.rz,Or.Ma.R.rz,Or.Ma.D.rzs,Or.Ma.R.rzs,Or.Sf.D.s,Or.Sf.R.s,Or.Sf.D.le,Or.Sf.R.le,Or.Sf.D.e,Or.Sf.R.e,Or.Sf.D.re,Or.Sf.R.re,Or.Sf.D.rz,Or.Sf.R.rz,Or.Sf.D.rzs,Or.Sf.R.rzs,Mg.Ma.D.s,Mg.Ma.R.s,Mg.Ma.D.le,Mg.Ma.R.le,Mg.Ma.D.e,Mg.Ma.R.e,Mg.Ma.R.re,Mg.Ma.D.rz,Mg.Ma.R.rz,Mg.Ma.D.rzs,Mg.Ma.R.rzs,Mg.Sf.D.s,Mg.Sf.R.s,Mg.Sf.D.le,Mg.Sf.R.le,Mg.Sf.D.e,Mg.Sf.R.e,Mg.Sf.D.re,Mg.Sf.R.re,Mg.Sf.D.rz,Mg.Sf.R.rz,Mg.Sf.D.rzs,Mg.Sf.R.rzs,Consensus.lineage
OTU_852,6,3,0,0,0,0,0,0,0,0,6,4,0,10,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,4,0,5,1,0,0,0,0,0,0,1,1,0,5,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__MyxococcalesOR;g__MyxococcalesOR
OTU_853,4,1,0,0,7,2,0,0,1,0,2,6,2,0,0,0,1,2,0,0,0,0,4,1,4,2,0,0,1,4,0,5,0,6,2,1,5,0,0,1,3,0,0,0,5,3,2,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Roseomonas
OTU_855,1,23,0,0,2,1,0,6,2,0,51,7,102,1,0,0,8,6,0,0,21,8,18,34,13,21,0,0,1,12,0,11,127,26,96,57,19,0,0,2,35,0,0,0,67,58,10,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__RhizobialesOR;g__RhizobialesOR
OTU_857,9,7,0,0,0,0,0,0,2,13,16,8,0,0,0,0,0,2,0,0,1,0,1,1,0,0,0,0,0,0,0,5,0,5,0,0,1,0,0,0,1,0,0,0,2,0,1,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Lysobacter
OTU_858,7,3,0,0,3,1,0,0,2,2,10,12,4,13,0,0,0,12,0,0,4,1,13,25,6,10,0,0,0,1,0,2,7,15,27,17,14,0,0,1,8,0,0,0,17,11,23,k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales;f__SphingobacterialesOR;g__SphingobacterialesOR
OTU_859,0,11,0,0,0,1,0,0,0,0,0,2,497,59,0,0,19,11,15,0,32,0,85,17,1,92,0,0,0,0,0,0,0,0,0,3,19,0,0,2,0,0,0,0,4,187,0,k__Bacteria
OTU_860,10,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,95,0,0,0,1,0,2,0,0,0,0,0,5,0,2,1,0,1,1,0,0,0,4,19,0,0,0,0,5,0,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Polyangiaceae;g__Sorangium
OTU_861,2,0,0,0,1,23,0,215,0,0,0,0,0,0,0,0,0,0,0,1692,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardioidaceae;g__Aeromicrobium
OTU_862,16,7,0,0,0,0,0,0,0,1,12,23,1,15,0,0,0,0,0,0,3,0,7,9,2,7,0,0,1,1,0,1,7,8,12,11,14,0,1,1,2,0,0,0,2,6,26,k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__VerrucomicrobialesOR;g__VerrucomicrobialesOR
OTU_864,7,12,0,0,7,3,0,0,0,0,8,11,14,29,0,0,6,30,2,0,11,0,7,20,11,17,0,0,0,10,0,7,5,13,10,4,19,0,0,7,19,0,0,0,15,16,10,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Solirubrobacterales;f__Solirubrobacteraceae;g__SolirubrobacteraceaeFA
OTU_865,11,9,0,0,0,0,0,0,0,0,20,6,4,10,0,0,2,1,0,0,7,0,4,8,16,4,0,0,2,4,0,4,5,10,3,11,20,0,0,1,6,0,0,0,5,15,12,k__Bacteria;p__Acidobacteria;c__iii1_8;o__DS_18;f__DS_18OR;g__DS_18OR
OTU_867,8,7,0,0,15,12,1,1,1,2,2,2,3,4,0,0,6,24,7,0,1,1,5,2,10,3,0,0,0,17,0,3,0,6,4,0,4,0,0,8,24,0,0,1,1,3,3,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Kaistobacter
OTU_868,54,1,0,0,0,0,0,0,0,0,22,2,0,98,0,0,1,2,0,0,0,1,1,0,14,0,0,0,0,0,0,0,0,3,0,37,0,0,0,1,0,0,0,4,0,0,3,k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__GemmatimonadaceaeFA
OTU_869,7,4,0,1,0,0,0,0,0,1,7,20,0,8,0,0,1,1,0,0,1,0,2,3,0,1,0,0,0,1,0,2,0,15,0,8,0,1,0,0,1,0,0,1,0,1,13,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__RhodocyclalesOR;g__RhodocyclalesOR
OTU_870,25,6,0,0,2,0,0,0,0,3,18,9,0,13,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,2,0,4,0,3,0,0,0,0,2,0,0,0,0,0,0,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Solirubrobacterales;f__SolirubrobacteralesOR;g__SolirubrobacteralesOR
OTU_871,13,4,0,0,2,1,1,0,0,1,15,3,2,14,0,0,2,5,0,0,4,1,3,0,4,1,0,0,0,6,0,11,0,15,13,21,6,0,0,2,4,4,1,3,9,2,13,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__SphingomonadaceaeFA
OTU_872,1,0,0,0,0,0,0,0,0,0,14,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,3,0,16,0,10,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria;p__Verrucomicrobia;c__Spartobacteria;o__Spartobacteriales;f__Spartobacteriaceae;g__Xiphinematobacter
OTU_873,80,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinopolysporaceae;g__ActinopolysporaceaeFA
